Model,Format,Type,Shutter,Width,Height,FPS,Pixel Size,QE (525),Read Noise,FWC
Sony ICX424,"1/3""",CCD,Global,648,488,84,7.4,46,12.86,13932
Sony ICX424,"1/3""",CCD,Global,648,488,84,7.4,53,12.03,13701
Sony ICX414,"1/2""",CCD,Global,648,488,90,9.9,39,19.43,25949
Sony ICX618,"1/4""",CCD,Global,648,488,120,5.6,70,11.73,14508
Sony ICX693,"1/3""",CCD,Global,808,608,50,6,71,11.22,20024
Sony ICX204,"1/3""",CCD,Global,1032,776,31,4.65,42,12.13,11944
Sony ICX692,"1/3""",CCD,Global,1288,728,30,4.08,72,8.56,11551
Sony ICX445,"1/3""",CCD,Global,1288,964,30,3.75,62,10.3,9686
Sony ICX445,"1/3""",CCD,Global,1288,964,30,3.75,66,9.23,9196
Sharp RJ33J4CA3DE,"1/3""",CCD,Global,1288,964,30,3.75,70,5.37,7384
Sony ICX445,1/3”,CCD,Global,1288,964,30,3.75,68,10.09,9231
Sony ICX445,"1/3""",CCD,Global,1288,964,31,3.75,61,7.61,7347
Sony ICX267,"1/2""",CCD,Global,1384,1032,18,4.65,53,11.48,10366
Sony ICX825,2/3”,CCD,Global,1384,1032,45,6.45,73,8.31,22856
Sony ICX285,"2/3""",CCD,Global,1384,1036,30,6.45,56,11.9,16408
Sony ICX274,"1/1.8""",CCD,Global,1624,1224,15,4.4,59,8.35,7969
Sony ICX674,"2/3""",CCD,Global,1920,1440,26,4.54,67,9.39,14693
Sony ICX818,1/1.8”,CCD,Global,1928,1448,13,3.69,76,10.48,10936
Sony ICX687,"1/1.8""",CCD,Global,1928,1448,15,3.69,79,9.68,11586
Sony ICX687,"1/1.8""",CCD,Global,1928,1448,26,3.69,68,10.17,9039
Sony ICX808,"1/1.8""",CCD,Global,2024,2024,18,3.1,75,9.29,6459
Sony ICX655,"2/3""",CCD,Global,2448,2048,8,3.45,60,9.43,5856
Sony ICX625,2/3”,CCD,Global,2448,2048,15,3.45,58,8.73,6168
Sony ICX625,2/3”,CCD,Global,2448,2048,15,3.45,57,8.18,5903
Sharp RJ32S4AA0DT,2/3”,CCD,Global,2448,2048,7.5,3.45,57,5.48,8086
Sony ICX694,"1""",CCD,Global,2736,2192,13,4.54,73,10.54,14446
Sony ICX694,"1""",CCD,Global,2736,2192,25,4.54,74,10.88,14227
Sony ICX694,"1""",CCD,Global,2736,2192,13,4.54,72,10.87,14959
Sony ICX814,"1""",CCD,Global,3376,2704,9,3.69,75,9.43,9996
Sony ICX834,"1""",CCD,Global,4240,2824,7,3.1,78,10.87,6125
Kodak KAI-29050,35mm,CCD,Global,6576,4384,4,5.5,43,12,20000
Kodak KAI-47051,56mm,CCD,Global,8856,5280,7,5.5,43,10,20000
On Semi KAF-50100,61mm,CCD,Global,8176,6132,1,6,62,12.5,40000
Aptina AR0134,"1/3""",CMOS,Global,1280,960,52,3.75,77,6.58,5542
e2v EV76C560,"1/1.8""",CMOS,Global,1280,1024,60,5.3,59,25.14,8384
e2v EV76C560,"1/1.8""",CMOS,Global,1280,1024,60,5.3,61,25.32,7506
ON Semi VITA1300,"1/2""",CMOS,Global,1280,1024,150,4.8,61,26.26,10226
ON Semi PYTHON 1300,"1/2""",CMOS,Global,1280,1024,149,4.8,59,9.28,6057
ON Semi PYTHON 1300,"1/2""",CMOS,Global,1280,1024,170,4.8,59,9.24,5779
Sony IMX035,"1/3""",CMOS,Rolling,1328,1048,120,3.63,77,6,15491
e2v EV76C570,"1/1.8""",CMOS,Global,1600,1200,60,4.5,66,24.17,7788
Sony IMX174,"1/1.2""",CMOS,Global,1920,1200,162,5.86,76,6.83,32513
Sony IMX249,"1/1.2""",CMOS,Global,1920,1200,41,5.86,80,7.11,33105
Sony IMX252,"1/1.8""",CMOS,Global,2038,1536,121,3.45,76,2.34,10482
Sony IMX265,1/1.8”,CMOS,Global,2048,1536,55,3.45,71,2.89,9777
CMOSIS CMV4000,"1""",CMOS,Global,2048,2048,90,5.5,53,16.81,7620
Sony IMX264,2/3”,CMOS,Global,2448,2048,35,3.45,69,2.29,9869
Sony IMX250,"2/3""",CMOS,Global,2448,2048,75,3.45,76,2.37,10361
Aptina MT9P031,"1/2.5""",CMOS,Rolling,2592,1944,13,2.2,63,7.64,6693
Sony IMX255,1”,CMOS,Global,4096,2160,43,3.45,71,2.43,10435
Sony IMX253,1.1”,CMOS,Global,4096,3000,30,3.45,72,2.43,10563
BAE CIS2521,"1.1""",CMOS,Global,2560,2160,50,6.5,55,5,30000
BAE LTN4625a,35mm,CMOS,Global,4608,2592,120,5.5,55,5,40000
On Semi Python 25k,APS-H,CMOS,Global,5120,5120,80,4.5,50,14,12000
CMOSIS CMV12000,APS-H,CMOS,Global,4096,3072,132,5.5,45,12.5,13000
CMOSIS CMV20000,35mm,CMOS,Global,5120,3840,30,6.5,45,8,15000
CMOSIS CMV50000,35mm,CMOS,Global,7920,6004,30,4.6,45,8.8,14500
Sony A7R,35mm,CMOS,Rolling,7392,4920,5,4.9,50,4.3,49000
GPIXEL 3005,Huge,CMOS,Rolling,30000,5000,10,5.5,50,3.9,23000
GPIXEL 1205,Huge,CMOS,Rolling,12000,5000,10,5.5,50,2.9,22000
GSENSE 5130,35mm,CMOS,Global,5056,2968,67,4.25,50,5,16000
